Property Name,Purchase Entire Building?,Vacant?,Zoning,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
1501-1505 N MILWAUKEE,Y,N,,On-Market,"Mixed Use, Multifamily, Retail",1501 N Milwaukee Ave,Chicago,IL,60622,Multi,,,11451,,5,,"$433,513.00 ",6.24%,"$6,950,000.00 ",26,No,-87.67496191,41.9087578
3265 W Armitage Avenue,Y,Y,B3-1,On-Market,"Office, Mixed Use",3265 W Armitage Ave,Chicago,IL,60647,Vacant,,,11250,,,,,0.00%,"$975,000.00 ",1071,No,-87.7095704,41.9172055
1616 W Glenlake Ave,Y,Y,B3-2,On-Market,"Industrial, Mixed Use, Office",1616 W Glenlake Ave,Chicago,IL,60660,Vacant,,,10400,,,,,,"$1,375,000.00 ",172,No,-87.6709663,41.9929646
COMMERCIAL MEDICAL BUILDINGcan be repurposed---TIF DISTRICT,Y,N,,On-Market,Office,6441 S Pulaski Rd,Chicago,IL,60629,Multi,,,10200,$73.43 ,,,,,"$749,000.00 ",1165,No,-87.7222727,41.7754817
Prime Chicago Mixed-Use Multi-Family  Office Space,Y,N,,On-Market,"Mixed Use, Multifamily, Office",2945 W Peterson Ave,Chicago,IL,60659,Multi,,,10000,$169.90 ,13,"$130,692.31 ","$106,532.00 ",6.27%,"$1,699,000.00 ",51,No,-87.7036372,41.9900965
Lincoln Park - 4 Unit,Y,N,,On-Market,"Mixed Use, Multifamily",2636 N Lincoln Ave,Chicago,IL,60614,Multi,,,9910,,4,"$568,750.00 ","$144,892.00 ",6.37%,"$2,275,000.00 ",170,No,-87.65493952,41.92988738
670 W Hubbard,Y,N,,On-Market,"Office, Retail",670 W Hubbard St,Chicago,IL,60654,Multi,,,9500,,,,,,,1614,No,-87.6455866,41.8903608
"Chicago - 6335 N. Western Ave  For Sale - 9,090 SF",Y,Y, B3-2,On-Market,"Office, Retail",6335 N Western Ave,Chicago,IL,60659,Vacant,,,9090,,,,,,"$2,500,000.00 ",110,No,-87.6895113,41.9968912
Lincoln Square  Foster-Western Office Available,Y,N,,On-Market,"Land, Office",5214 N Western Ave,Chicago,IL,60625,Multi,,,9000,,15,,,,"$1,250,000.00 ",213,No,-87.68926202,41.97656168
"2944 W Devon Ave , Chicago, IL 60659",Y,N,,On-Market,"Mixed Use, Multifamily, Retail",2944 W Devon Ave,Chicago,IL,60659,Multi,,,8975,$178.27 ,7,,"$120,000.00 ",7.50%,"$1,600,000.00 ",254,No,-87.7039547,41.9976873
