Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
886-888 N. Milwaukee Avenue,On-Market,"Retail, Multifamily, Office, Industrial, Self Storage",886-888 N Milwaukee Ave,Chicago,IL,60642,N/A,,,6750,,,,,,"$1,250,000.00 ",180,No,-87.6583921,41.8978412
"Long-term Leased 10,739 SF Retail Property in Logan Square",On-Market,Retail,2252 N Milwaukee Ave,Chicago,IL,60647,Single,,,10739,,,,,,,179,No,-87.69588547,41.92200363
1640 S State Street,On-Market,"Retail, Industrial",1640 S State St,Chicago,IL,60616,Single,,,13646,,,,,,"$2,650,000.00 ",532,No,-87.6277002,41.8592091
4660 N Ravenswood Ave,On-Market,Office,4660 N Ravenswood Ave,Chicago,IL,60640,Multi,,,44900,,,,,,"$5,500,000.00 ",314,No,-87.6751858,41.9667662
7100 S. Jeffery Blvd,On-Market,"Mixed Use, Multifamily",7100 S Jeffery Blvd,Chicago,IL,60649,Multi,,,52193,$86.22 ,55,"$81,818.18 ","$357,330.00 ",7.94%,"$4,500,000.00 ",1755,No,-87.5494745,41.7246539
SamsBeauty Warehouse,On-Market,Retail,7200 S Cicero Ave,Chicago,IL,60629,Single,,14.5,81798,$70.30 ,,,"$480,154.00 ",8.35%,"$5,750,000.00 ",334,No,-87.7458841,41.7625536
2415 west 24th place,On-Market,Industrial,2415 W 24th St,Chicago,IL,60608,N/A,,,24000,,,,,,,211,No,-87.6863985,41.848287
2323 N. Milwaukee Ave,On-Market,Retail,2323 N Milwaukee Ave,Chicago,IL,60647,N/A,,,12500,,,,,,"$3,750,000.00 ",75,No,-87.6980775,41.9236775
Pilsen Redevelopment Opportunity,On-Market,"Mixed Use, Multifamily, Special Purpose",1650 W 17th St,Chicago,IL,60608,N/A,,,82250,,,,,,"$3,950,000.00 ",146,No,-87.66814895,41.85867206
1254 N. Milwaukee,On-Market,Retail,1254 N Milwaukee Ave,Chicago,IL,60622,N/A,,,2400,$412.50 ,1,,,,"$990,000.00 ",290,No,-87.6686376,41.9044228
1612 W Fulton Street,On-Market,Industrial,1612 W Fulton St,Chicago,IL,60612,Vacant,,,14500,,,,,,,789,Yes,-87.6675527,41.8872399
444 Fullerton  Lincoln Park,On-Market,Retail,444 W Fullerton Pkwy,Chicago,IL,60614,N/A,,,11300,,,,,,"$2,750,000.00 ",112,No,-87.640828,41.92559805
"Walgreens Leasehold Opportunity - Chicago, IL",On-Market,Retail,4001 W Irving Park Rd,Chicago,IL,60641,Single,25,6.6,12495,$186.02 ,,,"$214,999.00 ",9.25%,"$2,324,314.00 ",334,No,-87.7279201,41.95354205
Gorgeous multi unit3575-3577 w. Belden Double lot-2 PINS,On-Market,Multifamily,3575 W Belden Ave,Chicago,IL,60647,N/A,,,,,3,"$533,000.00 ",,,"$1,599,000.00 ",126,No,-87.71648959,41.92278481
Wicker Park - Net Lease  Apartments,On-Market,Mixed Use,1474 N Milwaukee Ave,Chicago,IL,60622,Multi,,,,,4,,"$263,449.00 ",7.40%,"$3,558,000.00 ",663,No,-87.6750884,41.9084918
1514 N Milwaukee Avenue,On-Market,Retail,1514 N Milwaukee Ave,Chicago,IL,60622,Single,10,,3009,$714.52 ,1,,"$164,352.00 ",7.64%,"$2,150,000.00 ",1,No,-87.6753161,41.90898359
"3307 W Irving Park Rd, Chicago, IL",On-Market,Mixed Use,3307 W Irving Park Rd,Chicago,IL,60618,N/A,,,2600,$259.23 ,2,,,,"$674,000.00 ",106,No,-87.7108089,41.9536517
3322 W Lawrence Ave,On-Market,"Mixed Use, Office, Retail",3322 W Lawrence Ave,Chicago,IL,60625,N/A,,,19500,,,,,,,154,No,-87.71213522,41.9684018
833 W Haines St,On-Market,Industrial,833 W Haines St,Chicago,IL,60642,N/A,,,21000,,,,,,"$3,600,000.00 ",26,No,-87.6492818,41.9008704
100 Leased Office Property For Sale,On-Market,Office,7000 W North Ave,Chicago,IL,60707,Multi,,,14005,$96.39 ,19,,,,"$1,350,000.00 ",272,No,-87.80035731,41.90901847
10401 S Ewing Avenue,On-Market,"Mixed Use, Multifamily, Retail",10401 S Ewing Ave,Chicago,IL,60617,N/A,,,12000,,9,"$83,333.00 ","$53,525.00 ",7.14%,"$750,000.00 ",148,No,-87.5350576,41.7062367
Chipotle - Absolute NNN,On-Market,Retail,1399 W Lincoln Hwy,Chicago Heights,IL,60411,Single,,14.8,2350,,,,"$143,350.00 ",5.25%,"$2,730,476.00 ",48,Yes,-87.6738409,41.5061335
Lakeview  Broadway Boba Tea,On-Market,Business for Sale,3304 N Broadway,Chicago,IL,60657,N/A,5,3,722,,,,,,"$179,000.00 ",50,No,-87.64444518,41.94202263
Wilson Magnolia Plaza - Chicago Uptown,On-Market,Retail,1244-1254 W Wilson Ave,Chicago,IL,60640,Multi,,,,,5,,$120.86 ,,"$1,560,000.00 ",664,No,-87.6613738,41.965539
2900 W. Chicago,On-Market,Industrial,2900 W Chicago Ave,Chicago,IL,60622,Single,,,9200,$137.50 ,,,,,"$1,265,000.00 ",424,No,-87.6994503,41.8957808
401 N. Leavitt Street,On-Market,"Office, Industrial",401 N Leavitt St,Chicago,IL,60612,Vacant,,,39300,$83.97 ,,,,,"$3,300,000.00 ",2084,No,-87.681339,41.888858
440 W Randolph St,On-Market,Retail,440 W Randolph St,Chicago,IL,60606,Multi,,,27639,$143.00 ,341,,,,"$3,650,000.00 ",53,No,-87.6393482,41.8846137
STARBUCKS W DR-THRU  INFILL CHICAGO  15 YEAR NNN,On-Market,Retail,4751 S Central Ave,Chicago,IL,60638,Single,,14.3,2231,,,,"$220,500.00 ",6.00%,"$3,675,000.00 ",21,No,-87.7623082,41.8058003
1659 W Division St,On-Market,"Retail, Mixed Use",1659 W Division St,Chicago,IL,60622,N/A,,,7500,$42.44 ,,,,,,364,No,-87.6697678,41.9030423
4948-4950 N Christiana Avenue,On-Market,Multifamily,4948 N Christiana Ave,Chicago,IL,60625,N/A,,,7100,$218.31 ,8,"$193,750.00 ",,6.01%,"$1,550,000.00 ",202,No,-87.7125958,41.9717153
3900 S Western Ave,On-Market,Retail,3900 S Western Ave,Chicago,IL,60609,N/A,,,4000,,1,,,,,1586,No,-87.685126,41.8227735
12054 S. Doty Ave.,On-Market,Industrial,12054 S Doty Ave,Chicago,IL,60628,Vacant,,,20020,$137.36 ,,,,,"$2,750,000.00 ",468,No,-87.60169845,41.67517213
548 N. Sacramento Blvd,On-Market,"Office, Industrial",548 N. Sacramento Blvd,Chicago,IL,60612,N/A,,,51312,,,,,,"$4,999,000.00 ",111,Yes,-87.7027125,41.8917514
3056 West Walton Street,On-Market,"Industrial, Land, Mixed Use, Office, Self Storage",3056 W Walton St,Chicago,IL,60622,N/A,,,11990,,,,,,"$2,250,000.00 ",78,No,-87.70385349,41.89861343
1331 S Michigan Avenue,On-Market,"Retail, Office, Mixed Use",1331 S Michigan Avenue,Chicago,IL,60605,Vacant,,,,,,,,,"$1,499,000.00 ",1331,No,-87.6236706,41.8648464
