Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
3265 W Armitage Avenue,On-Market,"Office, Mixed Use",3265 W Armitage Ave,Chicago,IL,60647,Vacant,,,11250,,,,,0.00%,"$975,000.00 ",1066,No,-87.7095704,41.9172055
1441  1455 W 103rd St,On-Market,"Mixed Use, Multifamily, Retail",1455 W 103rd St,Chicago,IL,60643,N/A,,,10000,$145.00 ,12,"$120,833.33 ","$116,107.00 ",8.01%,"$1,450,000.00 ",664,No,-87.65920687,41.706726
Millie on Michigan Retail,On-Market,Retail,300 N Michigan Ave,Chicago,IL,60601,Vacant,,,25209,,4,,,,,61,No,-87.62449337,41.88704159
600 S Clark Street,On-Market,Retail,600 S Clark St,Chicago,IL,60605,N/A,,,59884,,,,,,,133,No,-87.6308408,41.8744144
LOGAN SQUARE MIXED USE,On-Market,"Mixed Use, Office, Retail",2815 N Kimball Ave,Chicago,IL,60618,N/A,,,4000,,2,,,,,439,No,-87.71233398,41.93259032
Walgreens,On-Market,Retail,6016 W 63rd St,Chicago,IL,60638,Single,13,10.4,14050,$338.08 ,,,"$351,250.00 ",7.39%,"$4,750,000.00 ",67,No,-87.7724129,41.7780737
4417-19 S Indiana,On-Market,Multifamily,4417 S Indiana Ave,Chicago,IL,60653,N/A,,,,,10,,"$221,425.00 ",6.40%,"$3,459,000.00 ",62,No,-87.621301,41.81418256
12000 S. Doty Ave.,On-Market,Industrial,12000 S Doty Ave,Chicago,IL,60628,N/A,,,24400,$34.84 ,4,"$212,500.00 ",,,"$850,000.00 ",468,No,-87.60191419,41.67596851
1501-1505 N MILWAUKEE,On-Market,"Mixed Use, Multifamily, Retail",1501 N Milwaukee Ave,Chicago,IL,60622,Multi,,,11451,,5,,"$433,513.00 ",6.24%,"$6,950,000.00 ",21,No,-87.67496191,41.9087578
10855 S Halsted St,On-Market,Retail,10855 S Halsted St,Chicago,IL,60628,N/A,,,2700,$166.63 ,,,,,"$449,900.00 ",382,No,-87.64247024,41.6964086
901 W. Lake Street,On-Market,"Land, Mixed Use, Retail",901 W Lake St,Chicago,IL,60607,N/A,,,25000,,,,,,,210,No,-87.64990707,41.88561527
3214 W Bryn Mawr Avenue,On-Market,Special Purpose,3214 W Bryn Mawr Avenue,Chicago,IL,60659,N/A,,,,,0,,,,"$459,000.00 ",12,No,-87.7096331,41.9832253
9444 S. Lafayette Ave.,On-Market,Retail,9444 S Lafayette Ave,Chicago,IL,60620,Multi,,,5100,,2,,,,"$299,000.00 ",118,Yes,-87.6252928,41.7222713
"Dollar General  Chicago, IL",On-Market,Retail,5518 W Chicago Ave,Chicago,IL,60651,Single,,0.4,11650,,1,,"$107,565.00 ",15.40%,"$700,000.00 ",280,No,-87.76480329,41.89488482
5257 S Ashland Ave,On-Market,"Retail, Office",5257 S Ashland Ave,Chicago,IL,60609,Multi,,9,12901,,,,"$271,144.00 ",7.40%,"$3,750,000.00 ",643,Yes,-87.6643736,41.7982995
"110 Main St, West Chicago, IL 60185-2965",On-Market,Mixed Use,110 Main St,West Chicago,IL,60185,N/A,,,1675,,,,,,,33,No,-88.2048481,41.8842213
1821 W Berteau Ave,On-Market,Office,1821 W Berteau Ave,Chicago,IL,60613,N/A,,,18723,,,,,,,500,No,-87.6751829,41.9575892
3953 S. Michigan Ave. Opportunity Zone - M1-3 Potential B3,On-Market,Land,3953 S Michigan Ave,Chicago,IL,60653,N/A,,,,,,,,,,1041,No,-87.62313142,41.82198701
2954 N Sheffield Avenue - Retail  Medical Offering,On-Market,"Mixed Use, Office, Retail",2954 N Sheffield Ave,Chicago,IL,60657,Multi,,,12291,$480.03 ,6,"$983,333.33 ","$450,633.00 ",7.64%,"$5,900,000.00 ",316,No,-87.6541473,41.9360565
High Cash Flowing Restaurant for Sale with Real Estate,On-Market,Retail,N/A,Chicago,IL,N/A,Multi,19,19,1500,,,,,,"$1,800,000.00 ",102,No,NA,NA
Vacant Owner-UserValue-Add Loop Office Condo  Suite 1210,On-Market,Office,"55 W Wacker Drive, Suite 1210",Chicago,IL,60601,Vacant,,,,,,,,,"$1,055,000.00 ",1043,No,-87.6300102,41.8864753
AbsoluteCare Chicago,On-Market,"Office, Retail",2627 W Cermak Rd,Chicago,IL,60608,Single,10,10,8156,,,,"$285,460.00 ",7.50%,"$3,806,133.00 ",61,Yes,-87.6919023,41.8516779
11136 S. Vernon Ave.,On-Market,Multifamily,11136 S Vernon Ave,Chicago,IL,60628,N/A,,,6500,$101.54 ,6,,"$69,564.00 ",10.54%,"$660,000.00 ",104,Yes,-87.6124883,41.6916274
"4525 N Clark St, Chicago, IL 60640",On-Market,"Land, Retail",4525 N Clark St,Chicago,IL,60640,N/A,,0.2,6937,,4,,,,"$1,495,000.00 ",18,No,-87.666293,41.9642594
Corner Redevelopment Site at Elston  Central Avenues,On-Market,Land,5703 N Elston Ave,Chicago,IL,60646,N/A,,,,,,,,,"$1,200,000.00 ",497,No,-87.7685631,41.9853996
4500 S Western Ave,On-Market,"Retail, Multifamily, Mixed Use, Land",4500 S Western Ave,Chicago,IL,60609,N/A,,,18350,,,,,,"$429,900.00 ",302,No,-87.684961,41.8119439
9200 S Commercial Ave,On-Market,Retail,9200 S Commercial Ave,Chicago,IL,60617,N/A,,,48000,,,,,,"$2,000,000.00 ",248,No,-87.551676,41.728083
Mixed Use - Insomnia Cookies  3 4BR2BA Apts - Near UIC,On-Market,"Mixed Use, Multifamily, Retail",1335 W Taylor St,Chicago,IL,60607,Multi,,8.2,7220,$359.97 ,4,"$649,750.00 ","$163,750.00 ",6.30%,"$2,599,000.00 ",316,No,-87.66047157,41.86934263
1023 W Fulton Market Street,On-Market,"Retail, Mixed Use",1023 W Fulton Market,Chicago,IL,60607,N/A,,,,,,,,,"$3,200,000.00 ",774,No,-87.6531612,41.8865428
10535 S Torrence,On-Market,"Retail, Office",10535 S Torrence,Chicago,IL,60617,Single,,0,2000,$225.00 ,,,,0.00%,"$450,000.00 ",1315,No,-87.559342,41.7037287
Michigan Ave - Prime Location,On-Market,Business for Sale,77 E Adams St,Chicago,IL,60604,N/A,5,3,2085,,,,,,"$189,000.00 ",49,No,-87.62506486,41.87956277
2241-45 South Michigan Ave,On-Market,Office,2241-45 South Michigan Ave,Chicago,IL,60616,Multi,,,19257,,,,"$381,420.00 ",,,1832,Yes,-87.623308,41.851753
"6600 N Clark St, Chicago, IL 60626",On-Market,"Mixed Use, Multifamily, Retail",6600 N Clark St,Chicago,IL,60626,Multi,,,15450,$129.45 ,12,,"$111,551.00 ",5.58%,"$1,999,999.00 ",311,No,-87.672252,42.001854
Kedzie Ave Shopping Center,On-Market,Retail,3201-3213 W Lawrence,Chicago,IL,60625,N/A,,,33794,$195.48 ,,,,,"$5,500,000.00 ",257,No,NA,NA
6050 Eberhart,On-Market,Multifamily,6050 S Eberhart Ave,Chicago,IL,60637,N/A,,,,,3,,,,"$869,000.00 ",75,Yes,-87.6134871,41.7842508
3 Bay Auto Shop INVESTOR or OWNER,On-Market,Retail,3800 W Division St,Chicago,IL,60651,Single,5,3.9,1600,,1,,"$42,500.00 ",7.08%,"$600,000.00 ",1076,No,-87.72143126,41.90312658
4204 W. Lake St,On-Market,Office,4204 W Lake St,Chicago,IL,60624,N/A,,,43096,,,,,,,165,No,-87.7309195,41.8861446
Chinatown RestaurantRetail Space Unit 113,On-Market,Retail,2240 S Canal St,Chicago,IL,60616,Vacant,,,,,,,,,"$549,000.00 ",40,No,-87.63843646,41.85157683
The Gold Coast Collection,On-Market,Mixed Use,875 N Rush St,Chicago,IL,60611,N/A,,,42358,,11,,,,,341,No,NA,NA
663 E 50th St,On-Market,Multifamily,663 E 50th St,Chicago,IL,60615,N/A,,,,,3,,,,"$635,000.00 ",193,Yes,-87.6088602,41.8038549
255 W. 79th St.,On-Market,Retail,255 W 79th St,Chicago,IL,60620,Single,,,7000,,,,,13.15%,"$450,000.00 ",26,No,-87.6316716,41.750549
8143-8157 S Ashland Ave,On-Market,"Retail, Mixed Use, Land",8143-8157 S Ashland Ave,Chicago,IL,60620,N/A,,,,,,,,,"$225,000.00 ",53,No,-87.6632352,41.74519666
Med-Tail Strip Center  2018 Construction,On-Market,Retail,5521 S Kedzie Ave,Chicago,IL,60629,Multi,,4.2,12512,$475.00 ,5,,"$401,418.00 ",6.75%,"$5,950,000.00 ",141,No,-87.7031813,41.7926032
1310 N Cicero Ave,On-Market,Industrial,1310 N Cicero Ave,Chicago,IL,60651,N/A,,,6250,,,,,,"$625,000.00 ",98,No,-87.7462396,41.9046304
1533-1537 N Wieland St,On-Market,Multifamily,1533-1537 N Wieland St,Chicago,IL,60610,N/A,,,10740,,20,"$348,750.00 ","$394,718.00 ",5.66%,"$6,975,000.00 ",193,No,-87.6354884,41.9103844
Taco Bell,On-Market,Retail,7535 N Harlem Ave,Niles,IL,60714,Single,15.6,9.7,2409,"$1,124.64 ",,,"$149,009.00 ",5.50%,"$2,709,255.00 ",92,No,-87.80680484,42.01849977
63rd Street  S. Pulaski Road,On-Market,Land,63rd Street & S. Pulaski Road,Chicago,IL,60629,N/A,,,,,,,,,,633,No,-87.7226788,41.7786533
Redevelopment Opportunity Building  Land for Sale 60630,On-Market,"Mixed Use, Multifamily, Retail",4774 N Milwaukee Ave,Chicago,IL,60630,Vacant,,,4500,,3,,,,"$999,000.00 ",168,No,-87.7606114,41.967336
Highly Visible Land Site at Key Corner in Jefferson Park,On-Market,Land,5700 N Central Ave,Chicago,IL,60646,N/A,,,,,,,,,"$3,000,000.00 ",497,No,-87.7684467,41.9859553
"87th  Kedzie, Chicago - NEC",On-Market,Land,87th & S. Kedzie,Evergreen Park,IL,60652,N/A,,,,,,,,,,770,No,-87.70177361,41.73531761
1812 W Cortland St,On-Market,Multifamily,1812 W Cortland St,Chicago,IL,60622,N/A,,,5174,,6,"$325,000.00 ","$115,392.00 ",5.92%,"$1,950,000.00 ",26,No,-87.6733414,41.9162673
3344 Butler Avenue,On-Market,Industrial,3344 Butler Ave,South Chicago Heights,IL,60411,N/A,,,10000,,1,,,,"$470,000.00 ",14,No,-87.6292963,41.47707181
4101 S. State St,On-Market,Land,4101 S State St,Chicago,IL,60609,N/A,,,4463,$321.24 ,,,,,"$1,433,705.00 ",403,No,-87.625887,41.819965
Prime Chicago Mixed-Use Multi-Family  Office Space,On-Market,"Mixed Use, Multifamily, Office",2945 W Peterson Ave,Chicago,IL,60659,Multi,,,10000,$169.90 ,13,"$130,692.31 ","$106,532.00 ",6.27%,"$1,699,000.00 ",46,No,-87.7036372,41.9900965
1522-1524 Union Ave - Chicago Heights,On-Market,Industrial,1522 Union Ave,Chicago Heights,IL,60411,Vacant,,,26000,$15.38 ,1,"$400,000.00 ",,0.00%,"$400,000.00 ",418,Yes,-87.63311394,41.5033627
Turnkey 4-Unit West Loop Opportunity,On-Market,"Mixed Use, Multifamily, Retail",1041 W Madison St,Chicago,IL,60607,Multi,,,6100,,4,,,,"$2,400,000.00 ",153,No,-87.65365284,41.88171465
The 44,On-Market,Multifamily,4400 S Calumet Ave,Chicago,IL,60653,N/A,,,,,,,,,"$7,100,000.00 ",67,No,-87.6184297,41.8146414
2310 W Belmont Avenue,On-Market,Mixed Use,2310 W Belmont Avenue,Chicago,IL,60618,N/A,,,,,0,,,,"$1,299,000.00 ",30,No,-87.6861633,41.9396584
Versatile 15000 SF building in amazing location,On-Market,Industrial,5315 W 63rd St,Chicago,IL,60638,N/A,,,,,,,,,"$949,000.00 ",39,No,-87.7553538,41.7778996
Exceptional Visibility RetailRepair with a Dealer License,On-Market,"Business for Sale, Mixed Use, Retail, Special Purpose",3445 N Pulaski Rd,Chicago,IL,60641,Multi,,,8750,$137.14 ,2,,"$141,600.00 ",10.89%,"$1,200,000.00 ",256,No,-87.72672356,41.94409358
1720 W North Ave,On-Market,"Office, Retail",1720 W North Ave,Chicago,IL,60622,N/A,,,3670,,,,,,"$925,000.00 ",5,No,-87.6710157,41.9107991
7740 Claremont,On-Market,Industrial,7740 S Claremont Ave,Chicago,IL,60620,Vacant,,,12000,$34.92 ,1,"$419,000.00 ",,,"$419,000.00 ",758,No,-87.68162761,41.75250317
211 W Wacker Dr Unit 1610,On-Market,"Office, Retail",211 W Wacker Dr,Chicago,IL,60606,N/A,,,2800,$249.64 ,1,,,,"$649,000.00 ",574,No,-87.6345857,41.8867826
Unique Bldg at DivisionMilwaukee,On-Market,"Retail, Mixed Use",1209 N Milwaukee Ave,Chicago,IL,60642,N/A,,,20050,,,,,,,2002,No,-87.6666044,41.9038132
6027 N Kenmore Ave.,On-Market,Land,6027 N Kenmore Ave,Chicago,IL,60660,N/A,,,,,,,,,"$1,749,000.00 ",31,No,-87.6565445,41.9917734
7801 S. South Shore Drive,On-Market,Multifamily,7801 S South Shore Dr,Chicago,IL,60649,N/A,,,,,32,"$96,843.75 ","$217,569.00 ",7.02%,"$3,099,000.00 ",243,No,-87.5511407,41.7552145
414-424 E 71st Street,On-Market,Retail,414-424 E 71st Street,Chicago,IL,60619,Multi,3,2,4800,$114.58 ,3,,"$68,609.00 ",13.07%,"$525,000.00 ",1751,No,-87.6142346,41.7657484
3020 N Lincoln Ave,On-Market,"Office, Retail",3020 N Lincoln Ave,Chicago,IL,60657,N/A,,,13500,,,,,,"$2,200,000.00 ",75,No,-87.6645031,41.9365071
1133 S Wabash Ave.,On-Market,Retail,1133 S Wabash Ave,Chicago,IL,60605,N/A,,,1450,$316.55 ,,,,,"$459,000.00 ",311,No,-87.62588669,41.86821232
1239 S Avers - 3-Unit Multi-Family Investment Opportunity,On-Market,Multifamily,1239 S Avers Ave,Chicago,IL,60623,N/A,,,,,3,"$158,333.33 ","$44,042.00 ",9.27%,"$475,000.00 ",112,Yes,-87.7211697,41.8650253
819  831-847 N Leamington Avenue,On-Market,"Land, Mixed Use, Office",819 & 831-847 N. Leamington Avenue,Chicago,IL,60651,N/A,,,49546,,,,,,"$1,250,000.00 ",140,No,-87.7541135,41.8956678
10270 S Charles St,On-Market,Retail,10270 S Charles St,Chicago,IL,60643,N/A,,,7000,$67.86 ,3,,"$55,713.00 ",11.73%,"$475,000.00 ",664,No,-87.659126,41.707023
1631 S. Indiana Ave,On-Market,Retail,1631 S. Indiana Ave,Chicago,IL,60616,N/A,,,16500,,,,,,"$2,750,000.00 ",397,No,-87.6221634,41.8593487
Former Allstate Headquarters Bldg Homan Square Portfolio,On-Market,"Land, Mixed Use, Multifamily, Office",3245 W Arthington St,Chicago,IL,60624,Vacant,,,706000,$11.71 ,,,,,"$8,268,000.00 ",327,Yes,-87.70812746,41.87003658
Higgins Road Development Site,On-Market,Land,1410 W Higgins Rd,Park Ridge,IL,60068,N/A,,,,,,,,,"$1,150,000.00 ",231,No,-87.84338622,41.98731085
4235-37 S Calumet,On-Market,Multifamily,4235 S Calumet Ave,Chicago,IL,60653,N/A,,,,,8,,"$178,509.00 ",6.40%,"$2,789,000.00 ",62,No,-87.61836256,41.81729109
Fulton Market Mixed-Use,On-Market,"Mixed Use, Retail",1052 W Fulton St,Chicago,IL,60607,Multi,,,15000,$556.67 ,,,,,"$8,350,000.00 ",559,No,-87.65442741,41.88671702
3916 N Broadway,On-Market,"Office, Retail",3916 North Broadway,Chicago,IL,60613,Multi,5,5,4000,$375.00 ,,,"$110,200.00 ",7.35%,"$1,500,000.00 ",167,No,-87.6499153,41.9532092
Chicago Illinois Caterer,On-Market,"Business for Sale, Retail",Chicago Illinois Wedding Caterer,Chicago,IL,60601,N/A,,,4000,,,,,,"$695,000.00 ",269,No,-87.6197056,41.8839927
Irving Park Retail,On-Market,"Retail, Office",4253 N Kedzie Ave,Chicago,IL,60618,N/A,,,3750,,,,,,"$600,000.00 ",992,No,-87.7078515,41.9590785
944 W Huron Street,On-Market,Office,942 W Huron St,Chicago,IL,60642,Multi,,5,,,2,,,,"$1,800,000.00 ",573,No,-87.65171729,41.89504523
5201 W Madison St - Prime Redevelopment Opportunity,On-Market,Retail,5201 W Madison St,Chicago,IL,60644,Single,,,1962,,,,,,"$375,000.00 ",28,No,-87.75541626,41.87982508
Portfolio of 800 Land Sites Across Chicago,On-Market,"Land, Mixed Use, Multifamily, Retail",3515 E 95th St,Chicago,IL,60617,N/A,,,,,,,,,,74,Yes,-87.53829837,41.72287476
"2155 S. Carpenter Street, Chicago, IL 60608",On-Market,"Office, Industrial",2155 S Carpenter St,Chicago,IL,60608,Single,,,41237,,,,,,,623,No,-87.65290076,41.85256278
"Motor Row Opportunity Zone - 39,900 SF",On-Market,"Mixed Use, Office",2241 S Wabash Ave,Chicago,IL,60616,Vacant,,,,$106.52 ,3,,,,"$3,350,000.00 ",461,Yes,-87.6250414,41.8516494
Homan Square Portfolio  Various Options to Purchase,On-Market,"Hospitality, Industrial, Mixed Use, Multifamily, Office",3201 W Arthington St,Chicago,IL,60624,Multi,,,550000,,,,,,,711,Yes,-87.70584794,41.8700534
1945 N Winchester Ave,On-Market,Multifamily,1945 N Winchester Ave,Chicago,IL,60622,N/A,,,5174,,8,"$353,125.00 ","$181,742.00 ",6.43%,"$2,825,000.00 ",26,No,-87.67640341,41.91733412
Sushi Tokoro,On-Market,Business for Sale,4750 N Western Ave,Chicago,IL,60625,N/A,,,2200,,1,,,,"$480,000.00 ",88,No,-87.6891995,41.9682875
Gut Rehabed 3-Unit in Booming Washington park,On-Market,Multifamily,4933 S Wabash Ave,Chicago,IL,60615,N/A,,,3750,,3,,,,"$929,000.00 ",99,No,-87.6240031,41.8046801
Kinzie Corridor,On-Market,Office,431 N Wolcott Ave,Chicago,IL,60622,N/A,,,28442,$103.72 ,,,,,"$2,950,000.00 ",727,No,-87.6742503,41.8896569
2754 West Giddings Street,On-Market,Multifamily,2754 W Giddings St,Chicago,IL,60625,N/A,,,2800,$311.00 ,3,"$283,000.00 ","$46,221.00 ",5.44%,"$849,000.00 ",19,No,-87.6984972,41.9678727
660 N Wells,On-Market,"Land, Mixed Use, Retail",660 N Wells St,Chicago,IL,60610,Single,,3.6,13125,,,,,,,39,No,-87.6345194,41.8941717
6415-6433 Ravenswood Ave,On-Market,"Office, Industrial",6415-6433 Ravenswood Ave,Chicago,IL,60626,N/A,,,38504,$89.58 ,,,"$286,127.09 ",,"$3,449,000.00 ",573,No,-87.6746775,41.9986422
5744 N. Ridge Ave,On-Market,Retail,5744 N Ridge Ave,Chicago,IL,60660,N/A,,,4000,,4,,,,"$599,000.00 ",138,No,-87.6648461,41.9863353
3743 W Belmont Avenue,On-Market,"Retail, Industrial",3743 W Belmont Ave,Chicago,IL,60618,N/A,,,13000,,2,,"$85,760.00 ",,,1136,No,-87.7214438,41.9389118
Emerald 6 Unit,On-Market,Multifamily,7152 S Emerald Ave,Chicago,IL,60621,N/A,,,5400,$125.93 ,6,"$113,333.33 ","$72,360.00 ",10.64%,"$680,000.00 ",337,Yes,-87.64299152,41.76353374
3428 S King Drive,On-Market,"Special Purpose, Land",3428 S King Drive,Chicago,IL,60616,N/A,,,,,0,,,,"$2,249,000.00 ",75,No,-87.6176237,41.8320263
8658 S Sacramento Ave  Chicago,On-Market,Office,8658 S Sacramento Ave,Chicago,IL,60652,Multi,,16.4,22174,,2,,"$449,396.00 ",6.50%,"$6,913,792.00 ",111,No,-87.698093,41.7355703
"Compass, Inc.  Chicago, IL",On-Market,"Office, Retail",55 E Erie St,Chicago,IL,60611,Single,7,6.2,3979,$730.32 ,1,,"$217,946.00 ",7.50%,"$2,905,947.00 ",53,No,-87.62651623,41.89409721
2858 W Devon Avenue,On-Market,Retail,2858 W Devon Avenue,Chicago,IL,60659,Vacant,,,3700,,,,,,"$899,000.00 ",188,No,-87.701962,41.9977766
East Side Chicago Liquor Store,On-Market,Retail,123 Confidential,Chicago,IL,60617,N/A,,,,,1,,,,"$290,000.00 ",11,No,-87.70073615,41.7250279
5101 W. Division St.,On-Market,"Office, Retail, Special Purpose",5101 W Division St,Chicago,IL,60651,N/A,,,9000,$72.11 ,,,$0.00 ,,"$649,000.00 ",25,No,-87.7536521,41.9020151
5252 N Western Avenue,On-Market,"Special Purpose, Land",5252 N Western Avenue,Chicago,IL,60625,N/A,,,,,0,,"$367,000.00 ",,"$2,549,000.00 ",75,No,-87.689468,41.9774587
1443 W. Belmont  Lakeview  Commercial Condo For SALE,On-Market,"Office, Retail",1443 W Belmont Ave,Chicago,IL,60657,Vacant,,,1200,,1,,,,"$259,000.00 ",8,No,-87.66560286,41.93976626
THREE LOT PROPERTY IN ARCADIA TERRACE,On-Market,"Land, Mixed Use",5620 N Western Ave,Chicago,IL,60659,Multi,,,8000,,5,,"$81,269.00 ",6.70%,"$1,199,000.00 ",407,No,-87.6897539,41.9838341
Prime Commercial Parcel,On-Market,"Retail, Multifamily, Land",4901 W 47th St,Chicago,IL,60638,Single,,,33542,,,,,,,35,No,-87.7460024,41.8073232
"Portage Park  For Sale - 6,000",On-Market,Land,3930 N Kilpatrick Ave,Chicago,IL,60641,N/A,,,,,,,,,,260,No,-87.7449368,41.9523413
"1813 W 63rd St , Chicago, IL 60636",On-Market,"Mixed Use, Multifamily, Retail",1813 W 63rd St,Chicago,IL,60636,N/A,,,,,,,,,"$469,900.00 ",146,No,-87.6697638,41.7790881
557 Polk Street,On-Market,Office,557 W Polk St,Chicago,IL,60607,Multi,,,30000,,,,,,"$3,500,000.00 ",46,No,-87.64190145,41.87195016
Dan's Hot Dogs- 9314 S Ashland Ave,On-Market,"Retail, Business for Sale",9314 S Ashland Ave,Chicago,IL,60620,N/A,,,300,$999.67 ,1,,,,"$299,900.00 ",596,No,-87.6630065,41.7243287
"6925 S. Yale Ave  Chicago, IL",On-Market,Multifamily,6925 S Yale Ave,Chicago,IL,60621,N/A,,,,,6,"$91,666.67 ","$55,505.00 ",10.09%,"$550,000.00 ",161,Yes,-87.6307502,41.7683094
Harlem Avenue - Edison Park UserInvestor Opportunity,On-Market,Retail,"7250-7258 N. Harlem Avenue Chicago, IL",Chicago,IL,60631,Multi,,,5100,$147.06 ,,,,,"$750,000.00 ",490,No,-87.80671715,42.01353673
45 w 103rd st chicago  il,On-Market,Hospitality,45 W 103rd St,Chicago,IL,60628,N/A,,,,,,,,,,7,No,-87.6252516,41.7068943
1639 S. Indiana Ave,On-Market,"Office, Retail",1639 S. Indiana Ave,Chicago,IL,60616,N/A,,,18000,,172,,,,"$1,750,000.00 ",397,No,-87.6220257,41.8592951
3002-3010 N Milwaukee Avenue,On-Market,"Special Purpose, Land",3002-3010 N Milwaukee Avenue,Chicago,IL,60618,N/A,,,18000,,0,,,,"$1,790,000.00 ",245,No,-87.7186122,41.9356285
3701-05 N Elston Avenue,On-Market,Mixed Use,3701 N Elston Ave,Chicago,IL,60618,N/A,,,5940,,2,,"$79,412.00 ",,"$900,000.00 ",964,No,-87.7117494,41.9488388
Starbucks  Charleys Cheesesteaks,On-Market,Retail,7112 W North Ave,Chicago,IL,60707,Multi,,,3112,,2,,"$150,562.00 ",6.64%,"$2,268,888.00 ",172,No,-87.80239621,41.90899933
5407 N. Broadway,On-Market,Land,5407 N Broadway,Chicago,IL,60640,N/A,,,,,,,,,"$1,195,000.00 ",293,No,-87.65991828,41.98026415
301 W 79th St,On-Market,Retail,301 W 79th St,Chicago,IL,60620,Multi,,5,7600,,,,,,"$900,000.00 ",131,No,-87.6322209,41.750462
Outstanding Redevelopment Opportunity,On-Market,Land,1805 N Campbell Ave,Chicago,IL,60647,N/A,,,,,,,,,"$1,950,000.00 ",707,Yes,-87.68977983,41.91421238
633 S Plymouth Ct,On-Market,Retail,633 S Plymouth Ct,Chicago,IL,60605,Multi,,,9941,$135.00 ,3,,"$68,407.00 ",7.60%,"$900,000.00 ",136,No,-87.6284325,41.8734576
2429-2431 W Fullerton,On-Market,Land,2429 W Fullerton Ave,Chicago,IL,60647,N/A,,,,,,,,,"$2,200,000.00 ",909,No,-87.688882,41.924728
5431 S Halsted Street,On-Market,"Retail, Land",5431 S Halsted Street,Chicago,IL,60609,N/A,,,,,0,,,,"$459,000.00 ",19,No,-87.6448942,41.7949874
3.13 Acre Development Site in Bronzeville,On-Market,Land,4401 S State St,Chicago,IL,60609,N/A,,,,,,,,,"$4,600,000.00 ",300,No,-87.625732,41.814548
McKinley Park Multi-Family Redevelopment,On-Market,Industrial,1965 W Pershing Rd,Chicago,IL,60609,Multi,,,1305769,$19.15 ,,,,,"$25,000,000.00 ",1571,No,-87.67421229,41.82311063
5772 S Archer Avenue,On-Market,Retail,5772 S Archer Ave,Chicago,IL,60638,Single,,,5500,,,,,14.00%,"$899,999.00 ",210,No,-87.7573611,41.7967532
Western Bryn Mawr Auto Service- 5556 N Western,On-Market,Retail,5556 N Western Ave,Chicago,IL,60659,N/A,,,2368,,1,,,,"$2,400,000.00 ",162,No,-87.68952593,41.98304376
2.9 Northwest suburbs of Chicago- gas station,On-Market,Retail,2.9 Northwest suburbs of Chicago,Northwest Suburbs of Chicago,IL,60600,N/A,,,,,1,,,,"$2,900,000.00 ",308,No,NA,NA
6700 S. Merrill Ave,On-Market,Multifamily,6700 S Merrill Ave,Chicago,IL,60649,N/A,,,,,50,,,,"$3,450,000.00 ",41,Yes,-87.5730189,41.7733278
Crane Building,On-Market,Industrial,5301-5323 S. Western Ave,Chicago,IL,60609,N/A,,,249000,,,,,,,4,No,-87.6813058,41.7972451
1438-40 W Lake,On-Market,"Office, Industrial",1438-40 W Lake Street,Chicago,IL,60607,Vacant,,,8000,,,,,,,28,No,-87.6639257,41.8856235
3319 West Fullerton,On-Market,Land,3319 W Fullerton Ave,Chicago,IL,60647,N/A,,,,,,,,,"$1,100,000.00 ",4,No,-87.711367,41.924338
7122 Vincennes Ave Shopping Center,On-Market,Retail,7122 S Vincennes Ave,Chicago,IL,60621,Multi,,,7365,$134.28 ,6,,"$112,004.00 ",11.32%,"$989,000.00 ",407,Yes,-87.628934,41.7645976
"Meineke - Chicago Ridge, IL",On-Market,Retail,6154 W 111th St,Chicago Ridge,IL,60415,Single,15,15,2242,,1,,"$106,000.00 ",7.35%,"$1,442,177.00 ",76,No,-87.77377879,41.69047056
Walgreens Dark Highest Cap Rate Walgreens,On-Market,Retail,833 W 115th St,Chicago,IL,60643,Single,,7,14820,$283.40 ,,,"$420,000.00 ",10.80%,"$4,200,000.00 ",316,No,-87.6432368,41.6848373
"Lincoln Park  1629 N. Halsted St., Chicago, IL",On-Market,"Mixed Use, Retail",1629 N Halsted St,Chicago,IL,60614,N/A,,,3837,,,,,,,102,No,-87.64839878,41.91173238
5151 Harlem Ave,On-Market,Office,5151 Harlem Ave.,Chicago,IL,60656,N/A,,,12596,,,,"$94,955.93 ",9.50%,"$999,000.00 ",18,No,-87.8066944,41.9753105
Rehabbed 5-Unit in Pilsen,On-Market,Multifamily,2213 W 23rd Pl,Chicago,IL,60608,N/A,,,,,5,,"$88,000.00 ",8.00%,"$1,100,000.00 ",28,No,-87.6812919,41.8492171
1410 West Taylor Street,On-Market,Retail,1410 W Taylor St,Chicago,IL,60607,N/A,,,1167,$425.00 ,,,,,"$295,000.00 ",441,No,-87.6620769,41.8695205
3000-3030 W. Marquette Rd.,On-Market,Multifamily,3000-3030 W Marquette Rd,Chicago,IL,60629,N/A,,,,,85,"$83,529.41 ","$554,138.00 ",7.80%,"$7,100,000.00 ",224,Yes,-87.6984458,41.7718784
2414 W 71st St,On-Market,Retail,2414 W 71st St,Chicago,IL,60629,Single,,,5400,$58.32 ,5,,,,"$349,900.00 ",302,Yes,-87.683954,41.7648616
Roosevelt  Springfield,On-Market,Land,3901-3907 W Roosevelt Rd,Chicago,IL,60624,N/A,,,,,,,,,,399,Yes,-87.7229217,41.8659478
